Party (partija),Candidate (kandidatas),Post Election No (numeris prieš rinkimus),Pre Election No (numeris po rinkimų)
Krikščionių partija,Tomas ŠIAUDINIS,37,66
Krikščionių partija,Rima KRUPSKYTĖ,38,78
Krikščionių partija,Laura MACKEVIČIENĖ,39,43
Krikščionių partija,Vytautas BENIUŠIS,40,23
Krikščionių partija,Eglė VOLUNGEVIČIŪTĖ,41,52
Krikščionių partija,Juozas VASILIAUSKAS,42,36
Krikščionių partija,Gintaras BERŽANSKIS,43,39
Krikščionių partija,Daiva BUDZINSKAITĖ,44,77
Krikščionių partija,Asta NAZAROVIENĖ,45,35
Krikščionių partija,Arvydas GRIGAITIS,46,47
Krikščionių partija,Toma RACIUVIENĖ,47,61
Krikščionių partija,Jonas NAUJALIS,48,37
Krikščionių partija,Stasys VALIUKAS,49,46
Krikščionių partija,Anatolij ŠICHOVCOV,50,29
Krikščionių partija,Daiva SAJEK,51,32
Krikščionių partija,Algimantas Jonas AUKŠTINAITIS,52,33
Krikščionių partija,Ilona OGURCOVA,53,34
Krikščionių partija,Genovaitė Miglė ANDRULIENĖ,54,41
Krikščionių partija,Raimondas BENUŠIS,55,42
Krikščionių partija,Rūta JACEVIČIENĖ,56,44
Krikščionių partija,Rūta JANKAUSKIENĖ,57,45
Krikščionių partija,Sigita SIAURAITIENĖ,58,48
Krikščionių partija,Romualdas TRIMONIS,59,49
Krikščionių partija,Fausta SMOLENSKIENĖ,60,51
Krikščionių partija,Audronė BARAUSKIENĖ,61,53
Krikščionių partija,Daiva PETRAITIENĖ,62,54
Krikščionių partija,Jurgita ŽALIABARŠTYTĖ,63,55
Krikščionių partija,Darius KAIRAITIS,64,56
Krikščionių partija,Algimantas JASIULIONIS,65,57
Krikščionių partija,Asta GALBUOGIENĖ,66,58
Krikščionių partija,Remigija KRUPODRA,67,62
Krikščionių partija,Rolandas MERKELIS,68,63
Krikščionių partija,Vytautas ŠUNSKIS,69,64
Krikščionių partija,Edvinas SKIRGAILA,70,65
Krikščionių partija,Arūnas MAULIUS,71,67
Krikščionių partija,Tomas STENIUKYNAS,72,68
Krikščionių partija,Vilmandas PALČIAUSKAS,73,69
Krikščionių partija,Jurij EKHARDT,74,70
Krikščionių partija,Rima RUTKAUSKIENĖ,75,71
Krikščionių partija,Zita Petronelė KRIAUČIŪNAITĖ,76,72
Krikščionių partija,Aušra TAPARAUSKIENĖ,77,73
Krikščionių partija,Arūnas MARKŪNAS,78,74
Krikščionių partija,Alvydas ZIMKUS,79,76
Liberalų ir centro sąjunga,Algis ČAPLIKAS,1,1
Liberalų ir centro sąjunga,Raimundas PALAITIS,2,2
Liberalų ir centro sąjunga,Arūnas VALINSKAS,3,3
Liberalų ir centro sąjunga,Artūras MELIANAS,4,4
Liberalų ir centro sąjunga,Vytautas BOGUŠIS,5,5
Liberalų ir centro sąjunga,Raimondas ŠUKYS,6,6
Liberalų ir centro sąjunga,Gintautas BABRAVIČIUS,7,9
Liberalų ir centro sąjunga,Audrius KLIŠONIS,8,16
Liberalų ir centro sąjunga,Rimantas TARAŠKEVIČIUS,9,10
Liberalų ir centro sąjunga,Jonas LIESYS,10,14
Liberalų ir centro sąjunga,Dalia ŠTRAUPAITĖ,11,8
Liberalų ir centro sąjunga,Regimantas ČIUPAILA,12,11
Liberalų ir centro sąjunga,Antanas NEDZINSKAS,13,23
Liberalų ir centro sąjunga,Gediminas KAZLAUSKAS,14,7
