Number of voters (balsuotojų skaičius),Distirct No (apylinkės nr.),Turnouts (balsų skaičius),Valid ballot papers (galiojančių biuletenių skaičius),Invalid ballot papers percent (negaliojančių biuletenių procentas),Distirct (apylinkė),Turnouts percent (balsavusiųjų procentas),Invalid ballot papers (negaliojančių biuletenių skaičius),Valid ballot papers percent (galiojančių biuletenių procentas)
962,8,407,393,3.44,Meškučių,42.31,14,96.56
306,5,178,167,6.18,Dargužių,58.17,11,93.82
805,6,427,412,3.51,Valkininkų,53.04,15,96.49
593,7,280,275,1.79,Pušelės,47.22,5,98.21
417,8,224,210,6.25,Gudžių,53.72,14,93.75
269,9,156,145,7.05,Nedzingės,57.99,11,92.95
576,,306,291,4.9,Perlojos,53.12,15,95.1
297,1,167,162,2.99,Sarapiniškių,56.23,5,97.01
413,2,210,204,2.86,Ramoniškių,50.85,6,97.14
1235,3,645,620,3.88,Alvito,52.23,25,96.12
1016,4,519,502,3.28,Giedrių,51.08,17,96.72
394,5,212,206,2.83,Klampučių,53.81,6,97.17
278,6,159,149,6.29,Serdokų,57.19,10,93.71
608,7,299,291,2.68,Uosių,49.18,8,97.32
807,8,314,292,7.01,Gražiškių,38.91,22,92.99
389,9,149,145,2.68,Girėnų,38.3,4,97.32
633,6,366,354,3.28,Punios,57.82,12,96.72
279,7,160,151,5.62,Raižių,57.35,9,94.38
917,8,412,396,3.88,Vaisodžių,44.93,16,96.12
233,9,124,120,3.23,Žagarių,53.22,4,96.77
1039,,559,526,5.9,Butrimonių,53.8,33,94.1
259,1,132,126,4.55,Vanagėlių,50.97,6,95.45
558,2,313,296,5.43,Eičiūnų,56.09,17,94.57
499,3,328,318,3.05,Pivašiūnų,65.73,10,96.95
376,2,175,172,1.71,Tamošių,46.54,3,98.29
934,3,518,488,5.79,Veliuonos,55.46,30,94.21
281,4,124,122,1.61,Stakių,44.13,2,98.39
1571,4,868,828,4.61,Skaudvilės,55.25,40,95.39
928,5,423,410,3.07,Raudonės,45.58,13,96.93
892,5,364,343,5.77,Adakavo,40.81,21,94.23
